ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,core_enrichment
REACTOME_SPOP_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,REACTOME_SPOP_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,45,0.443588857552681,1.65924101271549,0.00719479293565362,0.0438627648029718,CDK4/PSMC2/RBX1/PSMB1/PSMB7/PSMC3/CUL3/UBB/PSMD8/PSMD11/YWHAG/PSMA4/PSMB2/PSMC6/PSMC1/PSMA2/PSMA6/CSNK2A1/PSMC5/PSMC4/PSMA7/CCND1
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,13,0.612859553596785,1.6582944558717,0.015472296463572,0.0776193539255861,PRIM1/POLA2/E2F1/POLA1/PPP2R1A/PPP2R3B/TFDP1/PPP2R1B/TFDP2/PPP2CB
REACTOME_NUCLEAR_RNA_DECAY,REACTOME_NUCLEAR_RNA_DECAY,32,0.478505299820868,1.65771863703957,0.00976485015495548,0.05511037306203,EXOSC8/XRN2/EXOSC9/SRRT/NCBP1/EXOSC10/EXOSC2/RBM26/ZC3H3/PAPOLG/ZFC3H1/PABPN1/EXOSC4/EXOSC5/YTHDC1
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,91,0.392130189543309,1.65740088103034,0.0010541411914948,0.00942464847445351,AKAP9/ALMS1/NINL/HAUS1/CEP192/PLK4/MAPRE1/CEP76/CEP78/PPP2R1A/HAUS5/CDK5RAP2/TUBB/HAUS7/CSNK1E/CDK1/PCM1/HAUS3/DYNC1I2/DCTN2/TUBA1A/HAUS8/C2CD3/CLASP1/YWHAG/PRKAR2B/TUBA4A/DCTN1/CNTRL/SSNA1/CCP110/ODF2/MKS1/ACTR1A
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,63,0.414281444794342,1.65628886623593,0.00510203847131723,0.0337519468102525,COL9A1/CACNA1I/CACNA1G/COL6A6/COL2A1/CACNA1H/NRTN/NCAM1/ST8SIA2/GFRA2/NRAS/MAPK3/SPTBN2/GFRA1/CACNB2/CNTN2/PTPRA/COL5A1/PTK2/COL3A1/COL9A3/CREB1/COL4A1/PSPN/SOS1/ST8SIA4/KRAS/COL4A2/SPTA1/CACNA1C/COL9A2
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER,REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER,43,0.442480304418633,1.65309127668312,0.00838341211317406,0.0489981950692309,UBE2I/RBX1/PARP1/RPA2/SUMO2/XPA/GTF2H5/UBB/ERCC4/MNAT1/PARP2/DDB1/USP45/RPA3/RPA1/UBE2N/UBE2V2/PIAS1/ERCC3
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,63,0.413334909359592,1.6525046366457,0.00536153333141731,0.0348306805630923,PSMC2/PSMB1/PSMB7/CDK1/MAD2L1/PSMC3/UBB/PSMD8/UBE2E1/ANAPC10/CCNA1/ANAPC2/PSMD11/UBE2C/PSMA4/PSMB2/ANAPC4/PSMC6/ANAPC11/PSMC1/PSMA2/PSMA6/ANAPC15/ANAPC1/PSMC5/PSMC4/PSMA7/ANAPC7/BUB1B/PSMD3/CDC23/PSMA1/CDC26/NEK2/UBE2D1/CCNB1
REACTOME_P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1,REACTOME_P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1,6,0.769337414674719,1.64980478353626,0.0113445357880608,0.0602595048036404,NGFR/HDAC2/HDAC1/PRDM4/NGF
REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1,REACTOME_SUMO_IS_CONJUGATED_TO_E1_UBA2_SAE1,5,0.805304565890628,1.64948602092266,0.0177523873757044,0.0864172819421081,SAE1/UBA2/SUMO2
REACTOME_FGFR2_ALTERNATIVE_SPLICING,REACTOME_FGFR2_ALTERNATIVE_SPLICING,27,0.497041058315866,1.64895402312706,0.0111538394747728,0.0600981516637264,TIA1/POLR2J/NCBP1/POLR2E/POLR2F/HNRNPM/POLR2D/ESRP1/POLR2I
REACTOME_DEGRADATION_OF_AXIN,REACTOME_DEGRADATION_OF_AXIN,41,0.447235653054991,1.64814583143994,0.00923776156447145,0.0527955613463147,PSMC2/TNKS/PSMB1/PSMB7/PSMC3/UBB/PSMD8/PSMD11/PSMA4/PSMB2/PSMC6/AXIN2/PSMC1/PSMA2/PSMA6/PSMC5/PSMC4/PSMA7
REACTOME_REGULATION_OF_PD_L1_CD274_EXPRESSION,REACTOME_REGULATION_OF_PD_L1_CD274_EXPRESSION,134,0.366093609116354,1.6462471099279,0.00061686566757775,0.00623425629700892,CDK4/TEAD2/PSMC2/TCF7L1/RNF185/WDR5/RBBP4/RBX1/TNRC6C/CREBBP/PRKAB1/MYCN/RBBP5/OS9/EED/PSMB1/ASH2L/CUL1/BTRC/PSMB7/B3GNT3/PSMC3/CUL3/MOV10/UBB/EZH2/PSMD8/EP300/AGO2/PSMD11/AGO4/YWHAG/TEAD3/PSMA4/PSMB2/PSMC6/SUZ12/PSMC1/RPN2/PRKAG3/MIB2/PSMA2/KMT2A/OSTC/PSMA6/CSNK2A1/PDCD1/JAK1/KMT2C/COPS5/PSMC5/PSMC4/MYC/PSMA7/DPY30/LEF1/ERLIN2/CCND1
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,30,0.483543773569592,1.64493344756152,0.01143002920111,0.0605355798745007,WEE1/CDK2/PPP2R1A/TICRR/CDK1/CDC25A/FZR1/XPO1/CCNA1/PPP2R3B/PKMYT1/MNAT1/CCNB2/CDC25C/BORA/PPP2R2A/FOXM1/PPP2R1B
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,31,0.479292099325079,1.64392676474751,0.0110129103866468,0.0597276761510034,POLD3/POLE3/RFC2/RFC3/PCNA/POLD1/RPA2/POLE/RFC4/REV1/POLE2/UBB/RFC5/RFC1/POLD2/POLI
REACTOME_SIGNALING_BY_RNF43_MUTANTS,REACTOME_SIGNALING_BY_RNF43_MUTANTS,8,0.703985131240281,1.64304348662559,0.00932037933055335,0.053099700539367,RNF43/FZD4/LRP5/FZD8/LRP6/FZD5/WNT3A
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY,58,0.41737781023658,1.64270916418714,0.00387517406227339,0.0269175552171759,PSMC2/SKP2/RBX1/PSMB1/MSX2/CUL1/PSMB7/PSMC3/UBB/PSMD8/PSMD11/CBFB/PSMA4/SMURF1/PSMB2/PSMC6/PSMC1/BMP2/PSMA2/PSMA6/DLX5/PSMC5/PSMC4/PSMA7/PPARGC1A
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,51,0.425940118168856,1.64048261182037,0.00569775277456155,0.0364898635136814,TGIF2/PPM1A/PARP1/TRIM33/RBL1/CCNT1/CCNK/CDK8/CCNT2/SMAD4/MAPK3/YBX1/UBB/SKI/EP300/SMAD2/SP1/TFDP1/CDKN2B
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DNA_REPAIR_GENES,58,0.416658251542514,1.63987713614942,0.00392718904573673,0.0270706237274829,MSH2/POLR2J/FANCI/FANCD2/CDK13/SSRP1/POLR2E/POLR2F/POLR2D/CCNT1/CCNK/FANCC/GTF2H5/NELFB/CCNT2/POLR2I/NELFA/CTDP1
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION,19,0.543531634486091,1.63919303382011,0.0167727218044645,0.0825606401344782,LBR/LMNB1/LEMD3/VRK1/PPP2R1A/CDK1/TMPO/CCNB2/PPP2R2A/SIRT2/KPNB1
REACTOME_FORMATION_OF_PARAXIAL_MESODERM,REACTOME_FORMATION_OF_PARAXIAL_MESODERM,57,0.41506631137241,1.63669427999546,0.00700760460463501,0.0429007929354943,PSMC2/LFNG/CREBBP/RBPJ/NOTCH1/PSMB1/MSGN1/PSMB7/PSMC3/PSMD8/EP300/PSMD11/PSMA4/PSMB2/PSMC6/MAML1/PSMC1/PSMA2/NOG/PSMA6/EPHA4/WNT3A/PSMC5/PSMC4/PSMA7/LEF1/BMP4
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND,REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND,10,0.645409955598623,1.63492615501834,0.0158071679246407,0.0790796267919698,DCC/DAPK1/DAPK2/UNC5B/MAGED1/CASP3
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,28,0.491589357544436,1.63410099662228,0.0190813809013116,0.0911665976395998,NOTCH3/HDAC2/CREBBP/HDAC5/RBPJ/NOTCH1
REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ,REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ,11,0.635716115734946,1.63264434899956,0.0183481107433286,0.0886007700600304,BRCA2/PARP1/RBBP8/FEN1/XRCC1/NBN/PARP2/POLQ
REACTOME_DNA_METHYLATION,REACTOME_DNA_METHYLATION,5,0.795655362850516,1.62972178984556,0.0231728707056326,0.104074722073363,DNMT3A/UHRF1/DNMT3L
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,300,0.332084868391299,1.62580986513398,3.29563081987439e-05,0.000500160442075055,RNF2/PSMC2/HDAC2/CBX2/PIP4K2C/FRK/RBBP4/TNKS/PLCG1/FLT3/FOXO6/TNRC6C/AKT2/KDM1A/CD80/FRS2/FGF22/HDAC5/MBD3/EED/PSMB1/LAMTOR4/FGFR3/GSK3A/MTA3/PIK3R3/STRN/CHD3/NR2E1/SLC38A9/PPP2R1A/GAB1/ERBB3/PSMB7/SCMH1/NTRK2/FOXO3/RRAGB/OTUD3/PSMC3/MAPK3/FGF23/PDGFRB/PRR5/LAMTOR2/CAMK2D/BMI1/PIK3R2/ADCY2/MTOR/MOV10/PPP2R5D/UBB/EZH2/CDKN1B/IRS1/PSMD8/MDM2/RCOR1/RRAGD/AGO2/PRKACB/PHC1/IRS2/PDE1B/IL1RAP/PSMD11/AGO4/FGFR4/EGF/FGF9/ESR2/PRKAR2B/PDPK1/ICOS/FGF8/PSMA4/ERBB4/FOXO1/RPTOR/ADCY5/PSMB2/PSMC6/KIT/SUZ12/RICTOR/GATAD2B/CAMK2A/PSMC1/NRG3/PIK3R1/NRG1/GATAD2A/PHC2/NTF3/CREB1/PRKCA/FOXO4/KPNA2/TSC2/CHUK/USP13/PSMA2
REACTOME_FORMATION_OF_THE_ANTERIOR_NEURAL_PLATE,REACTOME_FORMATION_OF_THE_ANTERIOR_NEURAL_PLATE,11,0.632223157137651,1.62367374250712,0.0198877882190174,0.0928096783554145,ZEB2/OTX2/SOX2/POU3F1/SOX1/GBX2/ZNF521/ZIC2
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,23,0.50637834321404,1.6211990299445,0.0144668210832414,0.0735974052854481,POLR2J/NCBP1/POLR2E/POLR2F/POLR2D/NELFB/POLR2I/NELFA/CTDP1/SUPT4H1/POLR2G/POLR2B
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,8,0.693703962877075,1.61904808393249,0.0109688582801305,0.0596679459455291,ORC1/CDC6/MCM8/ORC5/ORC4
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS,REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS,12,0.61383781436851,1.61884873043522,0.0167772729398414,0.0825606401344782,PDS5B/SMC3/STAG1/SMC1A/PDS5A/NIPBL/RAD21
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,50,0.419945438418637,1.61866497504166,0.00861287368595878,0.0500155944592976,NOTCH3/LFNG/E2F1/TNRC6C/E2F3/CREBBP/RBPJ/NOTCH1/ST3GAL4/ATP2A1/MOV10/EP300/AGO2/AGO4/TFDP1/MAML1
REACTOME_IFNG_SIGNALING_ACTIVATES_MAPKS,REACTOME_IFNG_SIGNALING_ACTIVATES_MAPKS,8,0.693453798013747,1.61846421968447,0.0109688582801305,0.0596679459455291,RAF1/MAPK3/IFNG/IFNGR2/IFNGR1/JAK1
REACTOME_REGULATION_OF_CDH11_FUNCTION,REACTOME_REGULATION_OF_CDH11_FUNCTION,11,0.630161155096619,1.61837811463708,0.0204010144325279,0.0947152495247955,AMOT/CTNND1/CDH11/CDH8
REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1,REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1,8,0.693007833509073,1.61742337515217,0.0110956644861249,0.0599963175507231,FMOD/ACAN/OGN/OMD
