disease,drug_name,n_lines,spearman,spearman_lo,perm_mean,perm_sd,perm_p
GBM,BRD-K55116708,31,0.1741935483870968,0.054127706560334,-0.0168,0.2493,0.2178
GBM,manumycin A,32,0.0699972526238984,-0.0242257381589482,-0.0449,0.204,0.2673
GBM,RO-3306,21,0.4997402597402597,0.3312330913908867,-0.1194,0.2972,0.0198
GBM,GNE-317,21,0.0015584415584415,-0.1232685315809424,-0.0325,0.2827,0.495
GBM,BI-2536,33,0.2975267379679144,0.2021430546397892,-0.0572,0.2492,0.0792
GBM,KU-55933,33,0.0639705882352941,0.0164257526352721,-0.0673,0.2233,0.3267
GBM,Entospletinib,21,0.1254545454545454,0.1128397699122113,-0.0939,0.2971,0.2574
GBM,cediranib,26,-0.1046837606837606,-0.1483548301230164,-0.094,0.2526,0.5644
GBM,PD318088,32,0.4239002932551319,0.3835999254464644,-0.0496,0.2249,0.0297
GBM,LGK974,21,0.0942857142857143,-0.085508084962018,-0.1316,0.2688,0.2475
GBM,Savolitinib,21,-0.0085714285714285,-0.1081816706682054,-0.107,0.2739,0.4158
GBM,ibrutinib,27,0.2069597069597069,0.1218433277310112,-0.0766,0.2498,0.1485
GBM,nintedanib,29,-0.1394088669950738,-0.1867477746290801,-0.0397,0.2291,0.703
GBM,RAF265,24,0.0297391304347826,-0.1202932447078054,-0.1248,0.2667,0.2475
GBM,leptomycin B,32,0.3673753665689149,0.2476996743131517,-0.0878,0.2027,0.0198
GBM,Mirin,21,-0.2768831168831168,-0.3974887840059712,-0.0455,0.295,0.7822
GBM,BRD-K11533227,27,0.2856968435056617,0.2141441744179285,-0.0358,0.2249,0.0891
GBM,ceranib-2,31,-0.0705645161290322,-0.1390759574060049,-0.0625,0.2286,0.4752
GBM,ML050,31,0.112016129032258,0.0122915108875898,-0.0853,0.2139,0.2079
GBM,compound 1B,31,0.0421774193548387,-0.0865012227721522,-0.0767,0.222,0.3465
GBM,PAC-1,27,0.1901098901098901,0.1252969284883449,-0.092,0.2355,0.1287
GBM,parbendazole,32,0.4148093841642229,0.3463320379097087,-0.0784,0.2249,0.0198
GBM,CD-1530,28,-0.2303544567897342,-0.3894095125888885,-0.0524,0.2434,0.7723
GBM,bendamustine,30,-0.2416648358722315,-0.3497627867513825,-0.0541,0.2251,0.7921
GBM,AZ-3146,30,-0.0319021134593993,-0.1641119860288765,-0.0795,0.2457,0.4554
GBM,OF-1,21,-0.2075324675324675,-0.3329032748954377,-0.1305,0.29,0.604
GBM,LJI308,21,0.3220779220779221,0.243572208225757,-0.0661,0.3144,0.1188
GBM,ML320,30,-0.274379799228165,-0.3554325090694581,-0.0923,0.2291,0.7822
GBM,NSC19630,28,-0.2035030103995621,-0.2598972422911583,-0.0499,0.2483,0.7327
GBM,KW-2449,31,0.5183064516129032,0.4491116447591696,-0.0538,0.2242,0.0198
GBM,PLX-4720,33,0.1401737967914438,-0.0453711951543004,-0.0722,0.2353,0.1782
GBM,LE-135,31,0.5116129032258065,0.4466306024657476,-0.0563,0.2633,0.0198
GBM,vorapaxar,30,0.2715461624026696,0.1291126556799273,-0.0646,0.2406,0.0693
GBM,dasatinib,33,0.2054812834224599,0.1290883128521385,-0.0689,0.219,0.1287
GBM,docetaxel,24,0.3586086956521739,0.1770123742784084,-0.0731,0.2558,0.0594
GBM,trifluoperazine,31,-0.0786290322580645,-0.1611324262222448,-0.0628,0.2234,0.5545
GBM,SKI-II,29,0.1986206896551723,0.1206588940783641,-0.0455,0.2278,0.1683
GBM,SNX-2112,32,0.3127565982404691,0.2673080662382847,-0.0811,0.2225,0.0693
GBM,GSK461364,29,0.2999999999999999,0.1144751648778881,-0.0671,0.2448,0.0891
GBM,Compound 23 citrate,32,-0.1441481080199461,-0.2294836237410906,-0.063,0.2364,0.604
GBM,alisertib,33,-0.0480614973262032,-0.1475887291188735,-0.0805,0.2157,0.4653
GBM,CHM-1,32,0.2156891495601172,0.1452875372250615,-0.1056,0.234,0.0891
GBM,3-Cl-AHPC,31,0.5937903225806451,0.5631327327409941,-0.0742,0.2362,0.0099
GBM,momelotinib,31,-0.0465772761717795,-0.1885380663425792,-0.0613,0.2352,0.5347
GBM,BMS-536924,33,-0.0641711229946524,-0.123993972062639,-0.063,0.2388,0.505
GBM,VER-155008,32,-0.1225918802692522,-0.2426921000551324,-0.0619,0.2385,0.6436
GBM,nakiterpiosin,30,-0.1345050055617352,-0.2673481385471045,-0.0615,0.2195,0.6238
GBM,pifithrin-mu,31,-0.0461290322580645,-0.1669909330087548,-0.033,0.2454,0.5347
HNSC,GSK525762A,33,0.1538898643293857,0.0762537873939203,-0.0272,0.2024,0.2277
HNSC,erlotinib,33,0.2822860962566845,0.2003121317214719,-0.0482,0.2302,0.099
HNSC,BMS-270394,32,0.1531353238275093,-0.0253950013801083,-0.0525,0.2481,0.2574
HNSC,KU 0060648,32,0.0910557184750733,-0.0903531339526654,-0.0511,0.2367,0.3267
HNSC,Merck60,31,0.3190644234381991,0.2702535478585781,-0.0586,0.2352,0.0693
HNSC,pyrazolanthrone,32,-0.3422287390029325,-0.4080351727447819,-0.1014,0.2545,0.7921
HNSC,BRD-K97651142,32,0.0307184750733137,-0.0711752231248222,-0.0529,0.2306,0.3762
HNSC,Compound 7d-cis,25,0.0967692307692307,-0.0250886883985661,-0.0463,0.2568,0.3168
HNSC,BRD-K88742110,33,-0.3200534759358289,-0.4608657983384158,-0.0397,0.2285,0.8713
HNSC,BRD-K14844214,31,0.1493849596817916,0.035197014323487,-0.0666,0.2551,0.2079
HNSC,bosutinib,31,0.3883870967741936,0.297281926418408,-0.0917,0.2474,0.0396
HNSC,doxorubicin,33,0.2725267379679145,0.2442756869617399,-0.0573,0.2198,0.0693
HNSC,BRD-K80183349,32,0.2109970674486803,0.1212050433200647,-0.0848,0.226,0.0891
HNSC,CHIR-99021,31,-0.3711261234708982,-0.4322665101703091,-0.0664,0.2456,0.8713
HNSC,PYR-41,29,0.4807488643436887,0.43574654087873,-0.0335,0.2349,0.0198
HNSC,palmostatin B,20,-0.0875187969924811,-0.1997179551013208,-0.0763,0.2803,0.5446
HNSC,UNC0321,32,0.173036386025978,0.1006975661195491,-0.0398,0.2459,0.2376
HNSC,SCH-79797,31,-0.0260483870967741,-0.1523810498999737,-0.0453,0.2515,0.4455
HNSC,spautin-1,30,0.1483870967741935,0.0854074555473407,-0.0606,0.2361,0.2079
HNSC,tanespimycin,32,0.3343108504398827,0.2681007313208681,-0.0336,0.2221,0.0396
HNSC,BRD-K02492147,28,-0.2088955815374586,-0.2511038172738775,-0.0485,0.2696,0.7129
HNSC,lapatinib,33,0.5168449197860963,0.4154903129493446,-0.0617,0.2833,0.0297
HNSC,SGX-523,32,0.2736803519061582,0.212373500769421,-0.0738,0.2449,0.099
HNSC,nutlin-3,33,0.2873663101604278,0.1527694987488317,-0.0764,0.2512,0.0891
HNSC,Repligen 136,32,-0.1191348973607037,-0.2126402256827269,-0.0625,0.2335,0.604
HNSC,BRD-K94991378,28,-0.0375684612744212,-0.199158519549339,-0.0335,0.2577,0.5149
HNSC,PRIMA-1-Met,25,-0.1601538461538461,-0.4018959350192195,-0.0619,0.238,0.6535
HNSC,StemRegenin 1,32,0.257991202346041,0.210763064378834,-0.0402,0.2408,0.1188
